Minutiae type,X coordinate,Y coordinate,Açı (θ)
Ending,227,43,2.9080424
Ending,225,45,2.908042
Ending,295,48,2.913452
Ending,297,49,2.9145977
Ending,179,66,4.523919
Ending,207,66,6.1727104
Ending,183,67,5.4235897
Ending,207,67,6.8035016
Ending,215,67,9.807828
Ending,193,68,3.7574632
Ending,210,68,6.97317
Ending,221,68,11.723804
Ending,192,69,3.9359193
Ending,232,70,8.925093
Ending,249,74,8.111313
Ending,259,77,9.326241
Ending,170,78,4.7259912
Ending,185,79,11.54459
Ending,174,80,6.277503
Ending,153,82,4.6825647
Ending,157,82,5.269287
Ending,117,83,1.9811963
Ending,118,84,1.9921124
Ending,268,88,8.541356
Ending,262,89,8.611633
Ending,274,89,11.6461735
Ending,277,90,13.307732
Ending,259,91,9.468148
Ending,231,92,16.46408
Ending,234,93,14.454372
Ending,291,93,8.24957
Ending,152,94,11.572693
Ending,243,94,11.781927
Ending,75,95,4.9559555
Ending,147,96,11.088391
Ending,246,96,12.827913
Ending,265,96,8.677539
Ending,75,97,5.669546
Ending,143,97,9.3328495
Ending,266,97,8.035414
Ending,251,98,12.411367
Ending,133,99,5.0561194
Ending,269,99,8.302456
Ending,138,100,8.991875
Ending,254,100,13.381893
Ending,76,101,3.4777079
Ending,126,101,4.2907286
Ending,302,101,3.5851362
Ending,134,102,6.632376
Ending,274,102,9.848821
Ending,278,102,10.838449
Ending,301,102,3.8191683
Ending,72,104,4.8955507
Ending,286,104,7.5240917
Ending,122,105,4.3707542
Ending,262,105,14.091234
Ending,244,106,9.287596
Ending,285,106,8.289689
Ending,265,107,14.446721
Ending,297,107,3.8860445
Ending,299,107,3.7660985
Ending,287,109,10.162009
Ending,251,110,10.699833
Ending,231,112,12.196683
Ending,233,113,12.16227
Ending,234,113,10.865235
Ending,306,113,7.492379
Ending,237,115,12.0835495
Ending,239,115,10.071995
Ending,291,115,7.3293724
Ending,242,117,10.692966
Ending,122,118,14.570557
Ending,245,118,10.584213
Ending,312,118,6.9259424
Ending,66,119,3.1325812
Ending,120,119,13.727752
Ending,297,119,10.07812
Ending,65,120,3.1754248
Ending,95,120,4.6486163
Ending,116,120,9.113431
Ending,248,120,12.025921
Ending,250,121,12.25322
Ending,320,121,7.834817
Ending,99,122,5.0404463
Ending,138,122,15.597506
Ending,114,123,8.2437105
Ending,253,123,13.50768
Ending,307,123,7.242423
Ending,325,123,6.0038786
Ending,67,124,3.175424
Ending,95,124,5.483409
Ending,134,124,14.487843
Ending,322,124,5.504506
Ending,66,125,3.177868
Ending,310,126,9.923656
Ending,240,127,10.510983
Ending,313,127,5.7544656
Ending,183,131,18.013044
Ending,247,131,11.322344
Ending,181,132,17.55359
Ending,86,133,3.7168083
Ending,140,133,14.598649
Ending,138,134,14.346998
Ending,317,134,9.224323
Ending,321,134,5.390629
Ending,100,135,4.9073825
Ending,136,135,13.944031
Ending,233,135,11.633142
Ending,86,136,4.7003055
Ending,134,136,13.390708
Ending,236,137,11.034978
Ending,321,137,6.8071647
Ending,132,138,13.8447695
Ending,155,138,15.430261
Ending,239,138,8.526804
Ending,97,139,5.442921
Ending,130,139,13.605396
Ending,153,139,14.526904
Ending,305,139,11.793016
Ending,150,140,13.059234
Ending,144,143,14.102329
Ending,76,144,5.6139975
Ending,107,144,13.000723
Ending,249,144,10.728225
Ending,251,144,9.104183
Ending,312,144,14.657169
Ending,106,146,14.06592
Ending,233,146,9.896775
Ending,158,148,14.759316
Ending,238,149,10.442463
Ending,305,149,7.6508245
Ending,76,150,6.5859804
